,Date,Volume,SmVol,MeVol,LaVol,Speed,Occupancy,rho,FlowIndex,Traffic State
288,2017-04-03 00:00:00,30,21,9,0,58.6,1.09,0.5119453924914675,0.10421836228287841,Free-flow
289,2017-04-03 00:05:00,28,17,11,0,57.5,1.29,0.48695652173913045,0.09366532614586007,Free-flow
290,2017-04-03 00:10:00,42,33,8,1,53.1,1.53,0.7909604519774011,0.13788825190382475,Free-flow
291,2017-04-03 00:15:00,32,22,9,1,56.2,1.25,0.5693950177935942,0.10709905593109152,Free-flow
292,2017-04-03 00:20:00,22,15,7,0,52.8,1.02,0.4166666666666667,0.06169247882262342,Free-flow
293,2017-04-03 00:25:00,18,14,4,0,61.2,0.77,0.29411764705882354,0.05741422092923762,Free-flow
294,2017-04-03 00:30:00,15,10,5,0,59.7,0.67,0.25125628140703515,0.04271840506545735,Free-flow
295,2017-04-03 00:35:00,26,17,9,0,58.8,1.28,0.44217687074829937,0.0878754171301446,Free-flow
296,2017-04-03 00:40:00,31,23,8,0,51.1,1.25,0.6066536203522505,0.09181854482188187,Free-flow
297,2017-04-03 00:45:00,16,13,3,0,55.9,0.66,0.28622540250447226,0.042639970337411945,Free-flow
298,2017-04-03 00:50:00,23,12,11,0,57.1,1.01,0.4028021015761821,0.07250934086306722,Free-flow
299,2017-04-03 00:55:00,17,15,2,0,54.4,0.78,0.3125,0.04480762100339408,Free-flow
300,2017-04-03 01:00:00,10,7,3,0,56.5,0.41,0.17699115044247787,0.019152334502723828,Free-flow
301,2017-04-03 01:05:00,15,9,6,0,64.7,0.55,0.23183925811437403,0.04806622743218961,Free-flow
302,2017-04-03 01:10:00,22,12,10,0,54.6,0.91,0.40293040293040294,0.06451612903225806,Free-flow
303,2017-04-03 01:15:00,15,10,5,0,48.8,0.79,0.3073770491803279,0.031060152305981005,Free-flow
304,2017-04-03 01:20:00,16,11,4,1,58.7,0.76,0.272572402044293,0.045834402897806686,Free-flow
305,2017-04-03 01:25:00,12,9,3,0,65.5,0.5,0.183206106870229,0.034910584410028235,Free-flow
306,2017-04-03 01:30:00,11,5,6,0,74.3,0.44,0.1480484522207268,0.03714240894441117,Free-flow
307,2017-04-03 01:35:00,16,10,6,0,53.5,0.61,0.29906542056074764,0.03990188528564502,Free-flow
308,2017-04-03 01:40:00,11,9,2,0,58.7,0.4,0.18739352640545143,0.024906591369327748,Free-flow
309,2017-04-03 01:45:00,14,10,3,1,83.8,0.5,0.16706443914081145,0.06251960868201135,Free-flow
